configuration_id,TARGET_CLASS,criterion,Size,Length,MutationScore
Branch,com.sonos.services._1.GetScrollIndicesResponse,BRANCH,2,4,0.0
Branch,com.sonos.services._1.GetMediaURI,BRANCH,8,17,0.0
Branch,com.sonos.services._1.AbstractMedia,BRANCH,30,62,0.0
Branch,com.sonos.services._1.ExtendedMetadata,BRANCH,11,27,0.5
Branch,com.sonos.services._1.ReportPlaySecondsResult,BRANCH,2,4,0.8571428571428571
Branch,com.sonos.services._1.GetAppLinkResponse,BRANCH,2,5,0.0
Branch,com.sonos.services._1.CustomFault,BRANCH,6,13,0.0
Branch,com.sonos.services._1.GetSessionId,BRANCH,4,8,0.0
Branch,com.sonos.services._1.DynamicData,BRANCH,2,6,1.0
Branch,com.sonos.services._1.RelatedBrowse,BRANCH,4,8,0.0
Branch,com.sonos.services._1.GetMediaURIResponse,BRANCH,16,34,0.0
Branch,com.sonos.services._1.ReportStatus,BRANCH,6,12,0.46153846153846156
Branch,com.sonos.services._1.CreateItem,BRANCH,2,4,0.0
Branch,com.sonos.services._1.HttpHeaders,BRANCH,2,6,1.0
Branch,com.sonos.services._1.ReportPlaySecondsResponse,BRANCH,2,5,0.0
Branch,com.sonos.services._1.GetMediaMetadataResponse,BRANCH,2,5,0.0
Branch,com.sonos.services._1.ReportPlayStatus,BRANCH,8,16,0.0
Branch,com.sonos.services._1.ReorderContainerResult,BRANCH,2,4,0.0
Branch,com.sonos.services._1.TrackMetadata,BRANCH,52,106,0.0
Branch,com.sonos.services._1.GetExtendedMetadataResponse,BRANCH,2,4,0.0
Branch,com.sonos.services._1.RelatedPlay,BRANCH,8,18,0.0
Branch,com.sonos.services._1.GenericAction,BRANCH,18,37,0.0
Branch,com.sonos.services._1.RelatedActions,BRANCH,1,3,1.0
Branch,com.sonos.services._1.GetLastUpdate,BRANCH,1,1,1.0
Branch,com.sonos.services._1.RenameContainer,BRANCH,4,8,0.0
Branch,com.sonos.services._1.GetDeviceAuthTokenResponse,BRANCH,2,4,0.0
Branch,com.sonos.services._1.GetMediaMetadata,BRANCH,2,4,0.0
Branch,com.sonos.services._1.ContentKey,BRANCH,7,15,0.0
Branch,com.sonos.services._1.UserAccountStatus,BRANCH,3,4,0.6153846153846154
Branch,com.sonos.services._1.ReportPlaySeconds,BRANCH,10,21,0.17391304347826086
Branch,com.sonos.services._1.CreateContainerResult,BRANCH,4,8,0.0
Branch,com.sonos.services._1.GetExtendedMetadata,BRANCH,2,4,0.0
Branch,com.sonos.services._1.UserInfo,BRANCH,12,26,0.0
Branch,com.sonos.services._1.SegmentMetadataList,BRANCH,5,12,0.3333333333333333
Branch,com.sonos.services._1.PositionInformation,BRANCH,6,12,0.5789473684210527
Default,com.sonos.services._1_1.Sonos,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,21,69,1.0
Default,com.sonos.services._1_1.CustomFault,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,4,10,1.0
Default,com.sonos.services._1.ReorderContainer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,12,32,1.0
Default,com.sonos.services._1.ActionType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,5,6,0.7692307692307693
Default,com.sonos.services._1.AppLinkInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,18,51,1.0
Default,com.sonos.services._1.CreateItemResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,3,8,1.0
Default,com.sonos.services._1.RenameContainerResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,2,6,1.0
Default,com.sonos.services._1.GetMetadata,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,12,34,1.0
Default,com.sonos.services._1.OpenUrlAction,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,3,8,1.0
Default,com.sonos.services._1.TagsData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,9,32,1.0
Default,com.sonos.services._1.SegmentMetadata,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,70,188,0.973384030418251
Default,com.sonos.services._1.ReorderContainerResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,3,10,0.0
Default,com.sonos.services._1.MediaMetadata,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,12,35,0.9565217391304348
Default,com.sonos.services._1.MediaList,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,18,62,0.9714285714285714
Default,com.sonos.services._1.Algorithm,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,5,6,0.3333333333333333
Default,com.sonos.services._1.GetExtendedMetadataText,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,6,16,1.0
Default,com.sonos.services._1.AddToContainerResult,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,4,11,0.0
Default,com.sonos.services._1.RateItem,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,6,16,1.0
Default,com.sonos.services._1.RateItemResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,3,9,0.0
Default,com.sonos.services._1.ItemType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,6,7,0.9111111111111111
Default,com.sonos.services._1.GetAppLink,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,15,41,1.0
Default,com.sonos.services._1.HttpHeader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,6,17,1.0
Default,com.sonos.services._1.Property,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,6,16,1.0
Default,com.sonos.services._1.GetExtendedMetadataTextResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,3,8,1.0
Default,com.sonos.services._1.GetStreamingMetadata,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,8,20,0.8888888888888888
Default,com.sonos.services._1.GetSessionIdResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,3,8,1.0
Default,com.sonos.services._1.ReportStatusResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1,1,1.0
Default,com.sonos.services._1.GetScrollIndices,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,3,8,1.0
Default,com.sonos.services._1.DeviceLinkCodeResult,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,11,29,0.9
Default,com.sonos.services._1.CreateContainerResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,3,9,0.0
Default,com.sonos.services._1.SimpleHttpRequestAction,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,12,35,0.875
Default,com.sonos.services._1.GetStreamingMetadataResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,3,9,0.0
Default,com.sonos.services._1.GetDeviceLinkCodeResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,4,14,0.0
Default,com.sonos.services._1.SetPlayedSeconds,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,16,46,1.0
Default,com.sonos.services._1.GetContentKeyResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,2,6,1.0
Default,com.sonos.services._1.Context,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,5,17,1.0
Default,com.sonos.services._1.AddToContainer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,12,32,1.0
Default,com.sonos.services._1.GetMetadataResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,7,34,1.0
Default,com.sonos.services._1.Search,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,12,33,1.0
Default,com.sonos.services._1.SearchResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,7,33,1.0
Default,com.sonos.services._1.DeleteContainerResult,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1,1,1.0
Default,com.sonos.services._1.ObjectFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,115,232,1.0
Default,com.sonos.services._1.RemoveFromContainerResult,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,3,8,1.0
Default,com.sonos.services._1.DeleteItemResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1,1,1.0
Default,com.sonos.services._1.GetLastUpdateResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,3,9,0.0
Default,com.sonos.services._1.MediaUriAction,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,6,7,0.7647058823529411
Default,com.sonos.services._1.DeleteItem,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,3,8,1.0
Default,com.sonos.services._1.RateItemAction,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,8,31,0.5
Default,com.sonos.services._1.GetDeviceAuthToken,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,12,32,1.0
Default,com.sonos.services._1.RenameContainerResult,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1,1,1.0
Default,com.sonos.services._1.LoginToken,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,11,28,0.6
Default,com.sonos.services._1.GetContentKey,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,10,27,0.8
Default,com.sonos.services._1.ReportAccountAction,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,3,8,1.0
